brain,checkpoint,mode,cue,mean_lifetime,mean_total_activity,A_peak_activity,A_cumulative_activity,A_peak_step,A_final_activity,F_peak_activity,F_cumulative_activity,F_peak_step,F_final_activity,P_peak_activity,P_cumulative_activity,P_peak_step,P_final_activity,Q_peak_activity,Q_cumulative_activity,Q_peak_step,Q_final_activity,R_peak_activity,R_cumulative_activity,R_peak_step,R_final_activity,trial_similarity,A_peak_selectivity,A_cumulative_selectivity,A_final_selectivity,similarity_to_A_experience,similarity_to_F_experience,experience_preference,context_selectivity,context_pattern_separation
1,100,shared,P_weak_F,120.0,48.920853929479634,0.48817586060793117,17.2677830603796,86.0,0.36596737198757795,0.5460694449953077,23.602610858777886,8.0,0.1692439060706846,0.6102548647516555,13.246688944927243,4.0,0.0,0.5230113865038054,22.48661997978701,9.0,0.15045703396046306,0.47242215186072467,19.82368809457717,12.0,0.36628057658227,0.9999999999999998,-0.05789358438737657,-6.334827798398287,0.19672346591689335,0.5090057252902085,0.5662032615650773,-0.05719753627486879,0.09542726125536377,0.25110289401955344
1,100,shared,A,120.0,39.62367921955983,0.5725868378685601,22.100635269610795,5.0,0.3129657977743729,0.47085397110134863,21.08988939607837,24.0,0.0,0.4535103802211401,7.5160321722843335,30.0,0.0,0.46794292330607556,21.58529827950289,70.0,0.0,0.5008934581564158,21.30474576907177,79.0,0.06165243944612331,0.9999999999999998,0.1017328667672115,1.010745873532425,0.3129657977743729,0.46151535411717237,0.32681807304576305,0.13469728107140932,0.09542726125536377,0.25110289401955344
1,100,shared,F,120.0,35.023614759212386,0.4424944046705225,24.037309883590304,29.0,0.0,0.5762405339465282,18.08468137322569,5.0,0.45169009260241727,0.4409807644214202,10.583770909879307,52.0,0.002906546356975478,0.5532559134603178,19.72391674157926,5.0,0.41840607047994316,0.5042977392958858,18.673241425295554,10.0,0.4146968403458634,1.0,-0.1337461292760057,5.952628510364615,-0.45169009260241727,0.24028492805101007,0.4547723428302071,-0.21448741477919706,0.09542726125536377,0.25110289401955344
1,200,untrained,P,120.0,15.586024379617362,0.412399806938581,13.927179264935784,25.0,0.0,0.37647766137393934,14.64522596324195,40.0,0.0,0.5306626417824976,12.639694028336965,5.0,0.31738523665502616,0.3935729483716024,14.280287753777657,36.0,0.0,0.403789379917897,15.274650166408147,39.0,0.0,0.9999999999999998,0.03592214556464168,-0.718046698306166,0.0,0.0,0.0,0.0,0.0,0.0
1,200,untrained,P_weak_A,120.0,35.72749249931316,0.49363340921369947,14.816682005262816,10.0,0.3052803709438447,0.43346211366991555,21.086287054442412,102.0,0.0,0.5296662885671058,15.1752931253076,5.0,0.009042359380940798,0.42105246371878813,21.147553540708078,101.0,0.0,0.42947433372037735,18.98060918373879,40.0,0.056028565344697925,1.0,0.06017129554378392,-6.269605049179596,0.3052803709438447,0.0,0.0,0.0,0.0,0.0
1,200,untrained,P_weak_F,120.0,44.509338224459256,0.4093878093341717,21.297760566584245,27.0,0.09769506816758784,0.5036062492565976,19.073274009536796,9.0,0.28308302745426656,0.529358952154185,16.246779724067352,5.0,0.37215574027302945,0.4760899425396376,18.561027986629234,10.0,0.30885741105008685,0.4188374897435376,17.19286845038868,119.0,0.41582578611786536,1.0,-0.0942184399224259,2.224486557047449,-0.18538795928667873,0.0,0.0,0.0,0.0,0.0
1,200,untrained,A,120.0,30.26441068156754,0.5269649720747348,12.894400004652647,6.0,0.24272646671941586,0.4054539899242591,13.789942351949772,25.0,0.06751702771474415,0.41679144437282967,13.560983292503916,93.0,0.0,0.4033512934076143,13.223833828661189,25.0,0.20388342424581243,0.4363819720236043,14.468026008478486,94.0,0.0,1.0,0.12151098215047573,-0.8955423472971251,0.17520943900467173,0.0,0.0,0.0,0.0,0.0
1,200,untrained,F,120.0,29.80479040336694,0.4094459203400784,14.799543180171332,102.0,0.026776114333911895,0.5238161960411456,11.486486339707591,5.0,0.3473697626324526,0.40104352249740005,17.363795912246285,120.0,0.40104352249740005,0.4939282140271527,11.62326624973166,7.0,0.34172527925205093,0.43206090704859645,13.857754628149484,12.0,0.08564869082561427,1.0,-0.11437027570106723,3.313056840463741,-0.3205936482985407,0.0,0.0,0.0,0.0,0.0
1,200,disconnected,P,120.0,49.4124514461238,0.41252501248949847,19.224578028285713,40.0,0.37337448726135003,0.5119488738911068,6.948773003141822,106.0,0.19161412915069787,0.5014343399190216,23.40547830492229,6.0,0.21878311844752635,0.48641468883939265,7.206054305930576,106.0,0.20376034704027074,0.45365990386929955,8.334320573376107,102.0,0.14761967041256563,1.0,-0.0994238614016083,12.27580502514389,0.18176035811065216,0.0,0.0,0.0,0.0,0.0
1,200,disconnected,P_weak_A,120.0,16.508974385440673,0.5167578812530209,27.739671725780987,8.0,0.3761705846379427,0.44670369956149764,8.583380305712296,79.0,0.0,0.4972587007835365,21.31136283888336,5.0,0.2311280372507662,0.40647064253488885,9.748709993890824,76.0,0.0,0.48026162477955686,7.645392179654766,81.0,0.0,1.0000000000000002,0.07005418169152328,19.15629142006869,0.3761705846379427,0.0,0.0,0.0,0.0,0.0
